id,parent_id,name,is_active
866,82,Makroner,True
867,195,Krutonger,True
868,113,Andelever,True
869,139,Mango tørket,True
873,168,Lammedeig,True
874,156,Terte,True
875,19,Halloumi,True
878,841,Skrivebok,False
879,164,Dessertsuppe,True
880,139,Tranebær tørket,True
881,249,Kayennepepper,True
889,57,Selskapsdressing,True
890,415,Pannekakemix,True
893,841,Gummistrikk,False
894,63,Smårettpølser,True
895,745,Skopleie,False
899,84,Fiskewok,True
900,380,Karamellsaus,True
906,841,Konvolutter,False
907,378,Barberblader,False
908,249,Chilipulver,True
912,171,Peiskubbe,False
914,255,Desinfeksjon,False
915,249,Kyllingkrydder,True
916,132,Asiatisk kit,True
918,74,Hornsalt,True
923,841,Lim,False
924,249,Provencekrydder,True
925,341,Sesamolje,True
926,378,Barberhøvel,False
927,719,Tørrfisksnacks,True
928,47,Kyllingburger,True
929,132,Hamburger kit,True
930,113,Grønnsakspostei,True
931,249,Karripulver,True
932,118,Sminke,False
933,932,Leppestift,False
934,107,Presskannemalt kaffe,True
938,16,Morsmelkerstatning,True
941,74,Sirup,True
942,74,Konservering,True
944,26,Toddy,True
949,57,Ranchdressing,True
950,51,Sesong og fest,False
951,950,Selskapsartikler,False
953,380,Bringebærsaus,True
954,841,Saks,False
957,950,Kakelys,False
959,47,Øvrig kylling,True
961,249,Garam Masala,True
963,84,Bacalao,True
965,156,Havreterninger,True
966,249,Sitronpepper,True
967,74,Kakedeig,True
968,403,Frys selv is,True
969,95,Mellomleggspapir,False
972,249,Vaniljepulver,True
973,57,Thousand island,True
974,11,Gresskar,True
975,122,Semulegryn,True
976,332,Ansiktspleie,False
977,575,Hårfarge,False
978,950,Syttende mai-artikler,False
980,932,Øyenbryn,False
981,63,Medisterpølse,True
982,249,Stjerneanis,True
984,249,Hvitløkspepper,True
985,249,Dill tørket,True
986,88,Ingefærøl,True
987,238,Nduja,True
988,77,Potetbåter,True
991,65,Hermetisk paprika,True
992,745,Strømper,False
993,249,Einerbær,True
994,276,Kålrabistappe,True
995,316,Fruktsalt,False
996,249,Koriander tørket,True
998,316,Måltidserstatter,False
999,74,Bakekakao,True
1000,164,Proteinpudding,True
1003,74,Cocktailbær,True
1004,,Blomster og planter,False
1005,1004,Plantejord,False
1006,65,Kapers,True
1007,26,Ferdigdrink,True
1008,841,Penn,False
1009,13,Vegansk pålegg,True
1010,57,Dressingmix,True
1011,82,Smultringer,True
1012,249,Pizzakrydder,True
1013,316,Ølgjær,False
1015,199,Luftfrisker,False
1017,211,Mandelpudding,True
1018,164,Desserttopping,True
1022,70,Grillspyd,True
1026,305,Lammebog,True
1027,392,Storfelever,True
1028,249,Kanel,True
1031,316,Nypeekstrakt,False
1032,249,Safran,True
1034,304,Sitronmousse,True
1037,289,Elg,True
1038,43,Kjøttkaker,True
1041,41,Tofu,True
1044,5,Matvin,True
1045,249,Ingefær tørket,True
1046,2,Kokosnøtter,True
1047,70,Blodpølse,True
1049,255,Allergimidler,False
1052,134,Minestronesuppe,True
1057,74,Kakekrem,True
1058,46,Rype,True
1059,11,Aubergin,True
1060,65,Hermetisk artisjokk,True
1061,17,Babyolje,False
1070,156,Moussekake,True
1071,195,Terteskjell,True
1072,607,Stellematte,False
1075,195,Papadam,True
1077,279,Hermetisk pære,True
1080,841,Tusj,False
1081,249,Fiskekrydder,True
1082,17,Sinksalve,False
1084,415,Cookiesmix,True
1086,195,Rugchips,True
1087,332,Håndkrem,False
1090,9,Risdrikk,True
1096,380,Kirsebærsaus,True
1101,392,Storfe kraftbein,True
1102,106,Isgalt,True
1103,74,Vaniljekrem,True
1105,513,Wasabi,True
1106,122,Griljermel,True
1109,950,Ballonger,False
1110,745,Vaskenett,False
1111,249,Viltkrydder,True
