id,parent_id,name
1340,,Hus/Hjem Artikler
1341,1340,Klær
1344,205,Vårrullplater
1345,,Ferske Bakerivarer
1346,1345,Kaker
1347,,Middag
1349,1347,Ris
1351,209,"Skalldyr, fryst"
1353,754,Bind og tamponger
1354,1285,Eddiker
1360,1340,Renhold
1361,,Ferskt Kjøtt
1363,1361,Storfekjøtt
1365,1319,Bind og tamponger
1367,1285,Matoljer
1369,,Meieriprodukter
1370,1369,Smør og margarin
1372,1323,Kaffe
1375,1285,Ketchup og sennep
1380,1319,Helsekost
1382,1238,Sauser
1384,1361,Svinekjøtt
1386,1252,Klesvask
1388,,Snacks og godteri
1389,1388,Snacks
1391,,Pålegg/Frokost
1392,1391,Fiskepålegg
1394,,Fjærkre
1395,1394,Kylling
1399,91,Calzone
1401,134,Øvrige supper
1402,,Fersk Fisk/Skalldyr
1403,1402,Fisk
1405,1225,Smøreoster
1410,1247,Ris
1412,1247,Pasta
1416,1326,Søtpålegg
1419,650,Tørt brød
1421,538,Grillolje
1422,1288,Frosne bær og grønnsaker
1425,392,Flatbiff
1428,1340,Hus
1430,1388,Dip
1435,1315,Kjeks
1437,1234,Plantebasert drikke
1441,415,Bollemix
1444,852,Klær
1448,736,Ris
1450,,Kjøtt
1451,1450,Pølser
1454,,Dessert
1455,1454,Is
1462,1285,Krydder
1463,43,Kjøttpudding
1465,,Bakeartikler og kjeks
1466,1465,Tørket frukt og nøtter
1471,1319,Tannpleie
1476,156,Kringle
